"political_party","election_date","election_result",1,2,3,4,5,6,7,8,9,10,11,12
"praca_slovenskeho_naroda","2020-02-29",0.04,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"srk","2020-02-29",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"eds","2020-02-29",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"NA","2020-02-29",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"azen","2020-02-29",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"kdh","2020-02-29",4.65,5.4,6.0,5.7,5.7,6.5,6.9,7.3,7.5,7.5,6.8,7.5,6.5
"zrs","2020-02-29",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"sns","2020-02-29",3.16,4.4,5.1,5.4,6.8,6.9,6.8,7.0,7.2,7.2,7.5,7.9,7.5
"smk","2020-02-29",0.0,0.0,0.0,0.0,3.5,3.2,3.3,3.5,3.7,3.7,3.6,3.0,3.1
"dobra_volba","2020-02-29",3.06,4.0,3.3,3.8,2.9,2.4,2.1,0.0,0.0,0.0,0.0,0.0,0.0
"most_hid","2020-02-29",2.05,4.2,4.0,4.3,4.1,3.8,4.1,4.3,4.4,4.4,4.7,4.5,5.4
"sme_rodina","2020-02-29",8.24,7.8,7.1,7.0,7.0,7.2,7.2,6.6,7.3,7.3,9.4,9.0,9.5
"za_ludi","2020-02-29",5.77,8.2,10.3,9.2,10.6,9.1,6.5,5.5,0.0,0.0,0.0,0.0,0.0
"progresivne_slovensko","2020-02-29",6.96,9.3,10.5,10.3,11.7,11.0,13.3,14.9,17.8,17.8,13.4,9.1,9.5
"lsns","2020-02-29",7.97,12.2,13.6,11.8,10.3,10.2,10.6,11.4,12.5,12.5,10.5,11.8,11.7
"olano","2020-02-29",25.02,13.3,7.7,8.0,5.7,6.0,6.8,6.1,6.7,6.7,9.1,8.3,8.4
"nova_demokracia","2020-02-29",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"kapurkova","2020-02-29",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"unia","2020-02-29",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"kss","2020-02-29",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.1,1.2,1.3
"sdl","2020-02-29",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"hzds","2020-02-29",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"sss","2020-02-29",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"zeleni","2020-02-29",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"narod_a_spravodlivost","2020-02-29",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"pravo_a_spravodlivost","2020-02-29",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"nas_kraj","2020-02-29",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
